"income","loan_size","collateral","city","LTV","PD"
14000,398468,309500,"MI.Detroit",1.28745718901454,0.0120699532482311
8000,259041,309300,"MI.Detroit",0.837507274490786,0.00388638696143048
12000,318178,346000,"IL.Chicago",0.919589595375722,0.0165066496884168
6000,283459,435300,"IL.Chicago",0.651180794854124,0.0184096442832865
10000,384605,486300,"IL.Chicago",0.790880115155254,0.0163303565604955
6000,211658,308600,"MI.Detroit",0.685865197666883,0.02485802281364
6000,425844,324300,"MI.Detroit",1.31311748381129,0.0370753375481759
10000,140383,190500,"MI.Detroit",0.736918635170604,0.0267916034393446
14000,187548,156800,"IL.Chicago",1.19609693877551,0.00969247417472753
8000,111494,200500,"MI.Detroit",0.556079800498753,0.00108795018255643
4000,549110,512700,"IL.Chicago",1.07101618880437,0.0516094479471334
12000,188702,286100,"IL.Chicago",0.659566585110101,0.0304479792010462
16000,266231,185600,"IL.Chicago",1.43443426724138,0.0360996229717945
12000,403769,562400,"CA.Los.Angeles",0.717939189189189,0.00144230948389245
12000,427589,476700,"IL.Chicago",0.896977134466121,0.000344880247193611
12000,302852,310100,"IL.Chicago",0.976626894550145,0.023893205558689
14000,218845,267500,"IL.Chicago",0.81811214953271,0.0368409257809758
2000,371248,234200,"IL.Chicago",1.58517506404782,0.0106411517077101
14000,319056,444500,"CA.Los.Angeles",0.717786276715411,0.0206635337984275
10000,256092,99300,"IL.Chicago",2.57897280966767,0.127606102371294
14000,341372,369800,"MI.Detroit",0.923126014061655,0.00133483534597005
4000,159530,198500,"CA.Los.Angeles",0.80367758186398,0.0380072900406396
20000,264589,136600,"IL.Chicago",1.93696193265007,0.0461751942161275
10000,345680,459400,"IL.Chicago",0.752459730082717,0.00272521696213599
14000,297408,296200,"MI.Detroit",1.00407832545577,0.0369046680843036
6000,308977,269300,"MI.Detroit",1.14733382844411,0.04613591850867
4000,253415,372000,"MI.Detroit",0.68122311827957,0.0263045459902942
4000,279526,260800,"IL.Chicago",1.07180214723926,0.0368070920549734
12000,430077,333800,"CA.Los.Angeles",1.28842720191732,0.00474142440267043
2000,248975,280700,"MI.Detroit",0.886978981118632,0.0266171549214195
4000,246337,259100,"IL.Chicago",0.950741026630645,0.0412651297024498
8000,601072,702400,"MI.Detroit",0.855740318906606,0.0278340027645407
8000,489488,596000,"CA.Los.Angeles",0.821288590604027,0.0193286104406599
4000,128213,228800,"MI.Detroit",0.560371503496503,0.0193007494340978
18000,361251,452000,"CA.Los.Angeles",0.799227876106195,0.0253659722566211
8000,392496,608200,"MI.Detroit",0.645340348569549,0.0188398261203776
6000,356130,399100,"CA.Los.Angeles",0.89233274868454,0.0333707223116127
12000,406100,311400,"CA.Los.Angeles",1.30411046885035,0.00312026424539666
12000,328691,470900,"CA.Los.Angeles",0.698005946060735,0.00627281823010036
22000,411264,466100,"IL.Chicago",0.882351426732461,0.0266755374993724
12000,241965,456700,"MI.Detroit",0.529811692577184,0.0154451344392029
12000,228159,329800,"CA.Los.Angeles",0.691810187992723,0.0198202170669655
12000,273437,260300,"IL.Chicago",1.05046868997311,0.00807369145184312
6000,307209,239700,"IL.Chicago",1.2816395494368,0.00304174513727175
10000,316426,270100,"CA.Los.Angeles",1.17151425398001,0.0410588921208443
8000,321191,362900,"IL.Chicago",0.885067511711215,0.0168563157696356
10000,300326,370200,"IL.Chicago",0.811253376553215,0.037893491986857
6000,179561,194800,"CA.Los.Angeles",0.921771047227926,0.0351624480836575
10000,158704,305700,"IL.Chicago",0.519149492966961,0.00173702543417871
16000,389403,356800,"CA.Los.Angeles",1.09137612107623,0.0312820380335447
14000,414033,295200,"IL.Chicago",1.40255081300813,0.0376770734820925
10000,320580,510400,"CA.Los.Angeles",0.628095611285266,0.0177298326261642
14000,330341,234200,"CA.Los.Angeles",1.41050811272417,0.0625916949236215
6000,168091,172300,"IL.Chicago",0.975571677307023,0.00523090185509643
6000,293445,285600,"IL.Chicago",1.02746848739496,0.026781999910989
8000,331357,399500,"CA.Los.Angeles",0.82942928660826,0.0193369225566307
12000,174937,167700,"MI.Detroit",1.04315444245677,0.0285377601314316
16000,174898,204600,"MI.Detroit",0.854828934506354,0.0410891637079772
6000,565747,601700,"MI.Detroit",0.940247631710155,0.0438541812650734
14000,491920,557200,"IL.Chicago",0.882842785355348,0.0235606049265353
10000,160259,191600,"MI.Detroit",0.8364248434238,0.017904928864153
8000,229898,288200,"CA.Los.Angeles",0.797702984038862,0.0236684887083552
10000,367378,360700,"IL.Chicago",1.01851400055448,0.000633204446646837
8000,239258,228800,"CA.Los.Angeles",1.04570804195804,0.0252851844528735
10000,432437,404100,"CA.Los.Angeles",1.07012373174957,0.0523117641217031
14000,210953,171400,"MI.Detroit",1.23076429404901,0.00972871680770386
16000,248318,364100,"IL.Chicago",0.682004943696787,0.0151073326530041
12000,142135,194800,"IL.Chicago",0.729645790554415,0.0018947449322807
14000,315579,260700,"MI.Detroit",1.21050632911392,0.0133608026669178
12000,332595,269800,"IL.Chicago",1.23274647887324,0.0114501703715257
12000,489583,735400,"CA.Los.Angeles",0.665737013870003,0.00207719203405369
10000,368275,450500,"CA.Los.Angeles",0.817480577136515,0.0276209188834409
10000,442111,420400,"IL.Chicago",1.05164367269267,0.0462243837586116
6000,260892,246300,"CA.Los.Angeles",1.05924482338611,0.00541939762385333
10000,356014,398000,"CA.Los.Angeles",0.894507537688442,0.000617458898020527
12000,237063,181100,"CA.Los.Angeles",1.30901711761458,0.0356113935979901
14000,382246,320100,"IL.Chicago",1.1941455795064,0.00109741193449831
8000,268678,503300,"MI.Detroit",0.533832704152593,0.0169070688908177
6000,290459,543300,"IL.Chicago",0.534619915332229,0.00592827363103798
0,322715,352100,"IL.Chicago",0.916543595569441,0.00542112330533108
10000,226375,257700,"MI.Detroit",0.878443927046954,0.0173999666061052
10000,416505,551400,"IL.Chicago",0.755359085963003,0.0359241058276043
6000,322209,331600,"IL.Chicago",0.971679734620024,0.00668436450857033
16000,390144,328200,"CA.Los.Angeles",1.18873857404022,0.0149403963068286
10000,255859,315400,"IL.Chicago",0.811220672162334,0.00110883678922188
2000,353960,459300,"IL.Chicago",0.770650990637927,0.0367095287489065
10000,281924,270800,"IL.Chicago",1.04107828655835,0.00792288518811306
10000,361142,475100,"MI.Detroit",0.760138918122501,0.035948083049505
18000,168782,245800,"IL.Chicago",0.6866639544345,0.00140538430554185
4000,441017,482300,"CA.Los.Angeles",0.914403897988804,0.0282574135482382
12000,225495,286300,"IL.Chicago",0.787617883339155,0.0324578154449414
10000,341801,367800,"IL.Chicago",0.929312126155519,0.0414458672908996
12000,361190,551100,"MI.Detroit",0.65539829432045,0.0173485482132678
8000,186716,173900,"IL.Chicago",1.07369752731455,0.0446196927233035
8000,134484,178000,"CA.Los.Angeles",0.75552808988764,0.0101189516393013
4000,220335,233100,"CA.Los.Angeles",0.945238095238095,0.0101989449257685
8000,434165,498200,"IL.Chicago",0.871467282215977,0.000748341968084319
12000,291976,112100,"IL.Chicago",2.60460303300624,0.092035338323388
14000,222496,280400,"IL.Chicago",0.793495007132668,0.0383720095337949
0,389733,489000,"IL.Chicago",0.797,0.0179870785562089
8000,107098,134700,"MI.Detroit",0.795085374907201,0.0110721729102755
12000,332232,284000,"IL.Chicago",1.16983098591549,0.0231465260155292
10000,1180,10700,"CA.Los.Angeles",0.110280373831776,0.00551253287369716
12000,478914,528700,"CA.Los.Angeles",0.905833175714016,0.00529062481323377
10000,321742,192100,"CA.Los.Angeles",1.67486725663717,0.0296904008105537
2000,254627,231000,"IL.Chicago",1.10228138528139,0.00170588477229119
14000,336854,170600,"CA.Los.Angeles",1.97452520515826,0.0701642053679059
14000,483686,241900,"IL.Chicago",1.99952873088053,0.0789969925827121
6000,298030,225300,"CA.Los.Angeles",1.32281402574345,0.0649781443351897
12000,270003,248600,"IL.Chicago",1.08609412711183,0.047875361096753
6000,236637,300100,"IL.Chicago",0.788527157614129,0.0307225150156434
6000,238319,99600,"CA.Los.Angeles",2.39276104417671,0.0751785660623468
12000,394809,453700,"IL.Chicago",0.870198368966277,0.027896097776598
8000,201028,95000,"CA.Los.Angeles",2.11608421052632,0.00958126625916528
12000,304803,218000,"IL.Chicago",1.39817889908257,0.0652696642605753
10000,137738,251800,"CA.Los.Angeles",0.547013502779984,0.0222534555570755
8000,349221,496900,"CA.Los.Angeles",0.702799356007245,0.00470143850101181
16000,267644,219700,"IL.Chicago",1.21822485207101,0.0604053360224349
18000,278986,364600,"IL.Chicago",0.765183763027976,0.00158418555610546
8000,350172,396700,"MI.Detroit",0.882712377111167,0.0148178989494861
14000,361656,343300,"MI.Detroit",1.05346926886105,0.0463916646247768
8000,231271,228600,"MI.Detroit",1.01168416447944,0.0343355020168296
12000,270683,284700,"CA.Los.Angeles",0.950765718299965,0.0319217847175182
4000,323114,310000,"CA.Los.Angeles",1.04230322580645,0.00839150152414233
4000,396364,519900,"IL.Chicago",0.762385074052702,0.0155555048221719
4000,352143,287700,"IL.Chicago",1.22399374348279,0.0287343467732575
12000,440736,505900,"IL.Chicago",0.871191935165052,0.0410652308436105
8000,211561,191300,"MI.Detroit",1.10591217982227,0.0117404897516511
8000,182532,279200,"IL.Chicago",0.653767908309456,0.00363613362736863
10000,157989,247900,"CA.Los.Angeles",0.63730939895119,0.0290699505218492
6000,263339,272700,"IL.Chicago",0.965672900623396,0.0480563156253936
18000,302842,332400,"CA.Los.Angeles",0.911077015643803,0.0118226031827316
0,311356,314100,"CA.Los.Angeles",0.991263928685132,0.0131300204369055
6000,337300,500500,"CA.Los.Angeles",0.673926073926074,0.000873411515863477
8000,402315,229000,"IL.Chicago",1.75683406113537,0.0219361344952669
8000,138994,190200,"IL.Chicago",0.730778128286015,0.0269645395839858
6000,324906,347300,"IL.Chicago",0.935519723581918,0.0206649483978282
18000,199285,321300,"CA.Los.Angeles",0.620245876128229,0.0197771579699751
10000,137853,178800,"IL.Chicago",0.770989932885906,0.0284439328311827
16000,359590,384000,"IL.Chicago",0.936432291666667,0.0283917532044485
24000,219925,274800,"IL.Chicago",0.800309315866084,0.0324261397934685
8000,265787,210800,"IL.Chicago",1.26084914611006,0.0370902718371836
8000,242073,105400,"CA.Los.Angeles",2.29670777988615,0.0428718961463163
10000,448648,244600,"IL.Chicago",1.83421095666394,0.0246288789944908
18000,329370,524200,"MI.Detroit",0.628328882106066,0.0151259407380329
18000,385391,424000,"MI.Detroit",0.908941037735849,0.0266045549856047
16000,354034,407500,"CA.Los.Angeles",0.86879509202454,0.00984816396032112
12000,368019,363800,"IL.Chicago",1.0115970313359,0.0305208742036599
14000,106796,144400,"IL.Chicago",0.739584487534626,0.00360309059460586
10000,90977,88400,"MI.Detroit",1.02915158371041,0.0461698401058943
8000,445170,513600,"CA.Los.Angeles",0.866764018691589,0.0310317962012744
10000,322422,309600,"IL.Chicago",1.04141472868217,0.0429047146019938
12000,449551,398500,"IL.Chicago",1.12810790464241,0.00381787773167666
16000,382578,468400,"IL.Chicago",0.816776259607173,0.0390629125220111
10000,243498,313800,"MI.Detroit",0.775965583173996,0.00649078134778063
10000,414079,516400,"CA.Los.Angeles",0.801857087529047,0.0351715871296817
12000,281180,274900,"IL.Chicago",1.02284467078938,0.00737511239339885
6000,280659,315300,"MI.Detroit",0.890133206470029,0.00631506935286834
10000,141808,261800,"MI.Detroit",0.541665393430099,0.00414018681129929
8000,319809,243500,"MI.Detroit",1.3133839835729,0.0630837694208355
10000,188899,233700,"MI.Detroit",0.808296961916988,0.0246973363567173
10000,307306,445000,"IL.Chicago",0.690575280898876,0.00800658841687888
8000,379388,292700,"IL.Chicago",1.29616672360779,0.0531909295426243
14000,292619,419200,"CA.Los.Angeles",0.698041507633588,0.0297410387787755
10000,244357,332200,"IL.Chicago",0.73557194461168,0.0221423965442204
16000,287018,209700,"IL.Chicago",1.36870767763472,0.0100015528415274
18000,212256,134200,"CA.Los.Angeles",1.5816393442623,0.0745292257115733
12000,179958,125400,"IL.Chicago",1.43507177033493,0.0516915130425851
8000,357988,461400,"MI.Detroit",0.775873428695275,0.00232117183676343
8000,316184,428100,"IL.Chicago",0.73857509927587,0.0121904343054183
2000,334920,391700,"CA.Los.Angeles",0.855042124074547,0.0201908247093574
22000,335971,424600,"CA.Los.Angeles",0.791264719736222,0.0236539492839585
4000,228726,235700,"IL.Chicago",0.970411540093339,0.0258234141437387
14000,422930,294900,"IL.Chicago",1.43414716853171,0.0546325592361763
12000,382381,374500,"IL.Chicago",1.02104405874499,0.0456401485156377
2000,292018,268900,"IL.Chicago",1.08597248047601,0.00607938536985609
10000,306138,341000,"CA.Los.Angeles",0.897765395894428,0.0165629637032215
10000,205871,346600,"MI.Detroit",0.593972879399885,0.0266040800512171
18000,338202,519800,"IL.Chicago",0.650638707195075,0.0311669032047758
10000,194657,300500,"IL.Chicago",0.647777038269551,0.000714512449976083
6000,118850,132100,"CA.Los.Angeles",0.899697199091597,0.0338367909680027
12000,197179,236300,"IL.Chicago",0.834443504020313,0.0389466841735151
4000,235493,187400,"IL.Chicago",1.25663287086446,0.00138295251572659
12000,465974,371800,"IL.Chicago",1.25329209252286,0.0020494409421417
8000,318223,447000,"IL.Chicago",0.711908277404922,0.0322998620798026
12000,262818,200800,"IL.Chicago",1.30885458167331,0.00260889287360348
12000,640360,720600,"IL.Chicago",0.88864834859839,0.0288331949016625
12000,387812,345700,"IL.Chicago",1.1218166039919,0.0545020603028669
8000,279178,312200,"MI.Detroit",0.894228058936579,0.0405614280169313
12000,346769,165800,"IL.Chicago",2.09148974668275,0.0793050467942179
10000,296052,321000,"IL.Chicago",0.922280373831776,0.0455784279761497
8000,302387,465900,"CA.Los.Angeles",0.649038420261859,0.0247165585401829
4000,239032,224200,"CA.Los.Angeles",1.06615521855486,0.00665465092206877
6000,346369,589700,"CA.Los.Angeles",0.587364761743259,0.00170289498283117
12000,169423,236000,"IL.Chicago",0.71789406779661,0.0191772533074301
6000,290080,274300,"CA.Los.Angeles",1.05752825373678,0.0315674722971034
14000,291257,423800,"CA.Los.Angeles",0.687251061821614,0.0104418418295058
14000,85117,42100,"IL.Chicago",2.02178147268409,0.0174634686687855
18000,419315,368100,"CA.Los.Angeles",1.13913338766639,0.0279326914525893
6000,234541,343100,"MI.Detroit",0.683593704459341,0.0275047952734932
18000,291361,260200,"MI.Detroit",1.11975787855496,0.0358248279133655
8000,255114,279500,"CA.Los.Angeles",0.912751341681574,0.036504572539907
10000,361447,321500,"CA.Los.Angeles",1.12425194401244,0.0301982032631402
6000,377054,391800,"IL.Chicago",0.962363450740174,0.041975306181466
10000,307569,300400,"IL.Chicago",1.02386484687084,0.0402433831898464
8000,257599,281700,"IL.Chicago",0.914444444444444,0.0119759554531322
16000,200331,249000,"IL.Chicago",0.804542168674699,0.000201637663850308
6000,244843,240200,"IL.Chicago",1.01932972522898,0.0371424108050467
14000,504016,550700,"IL.Chicago",0.915227891774106,0.0255295710405878
10000,245560,339100,"IL.Chicago",0.724152167502212,0.021467109640071
10000,317398,241700,"IL.Chicago",1.31318990484071,0.0317198615301308
14000,400991,397700,"MI.Detroit",1.00827508171989,0.0027825667575058
14000,298191,458200,"IL.Chicago",0.65078786556089,0.0245717318386916
12000,282410,373000,"MI.Detroit",0.757131367292225,0.0281515523320143
18000,35647,105100,"MI.Detroit",0.339172216936251,0.00523400402078584
8000,352908,271300,"CA.Los.Angeles",1.30080353851825,0.0382284834415415
14000,240404,476100,"IL.Chicago",0.504944339424491,0.0240381255214434
10000,163959,224000,"IL.Chicago",0.731959821428571,0.0295371156650881
10000,382257,363400,"IL.Chicago",1.05189047881123,0.0239462840944454
4000,299867,317400,"CA.Los.Angeles",0.944760554505356,0.0048090876764722
8000,180100,162300,"IL.Chicago",1.10967344423906,0.0213768533796952
14000,386138,482600,"IL.Chicago",0.800120182345628,0.000153334625141699
10000,308186,403100,"IL.Chicago",0.764539816422724,0.018960129077555
12000,509029,742300,"IL.Chicago",0.685745655395393,0.0117930352648386
14000,409233,629000,"IL.Chicago",0.650608903020668,0.0122023217704278
16000,183649,242800,"IL.Chicago",0.756379736408567,0.031250323747489
6000,247077,362500,"IL.Chicago",0.681591724137931,0.0155126703295572
16000,205645,266700,"IL.Chicago",0.771072365954256,0.0301532931162098
10000,257504,335400,"MI.Detroit",0.767751937984496,0.0266423042609912
10000,255369,193000,"CA.Los.Angeles",1.32315544041451,0.0336945903375355
10000,189967,234000,"IL.Chicago",0.811824786324786,0.0240799667760366
8000,146931,214600,"IL.Chicago",0.684673811742777,0.0301592955501757
14000,159595,160300,"MI.Detroit",0.995601996257018,0.0380663746888229
4000,417783,519800,"IL.Chicago",0.803737976144671,0.00643439843821367
12000,188468,118800,"IL.Chicago",1.58643097643098,0.0390160778054316
14000,149669,202200,"IL.Chicago",0.740202769535114,0.00931094687727735
10000,312480,414900,"CA.Los.Angeles",0.753145336225597,0.00967145153557692
4000,190353,305500,"IL.Chicago",0.62308674304419,0.022054272323926
14000,381866,259600,"MI.Detroit",1.47097842835131,0.0723789937902752
4000,238531,151700,"CA.Los.Angeles",1.57238628872775,0.0325827559792164
4000,63325,87500,"IL.Chicago",0.723714285714286,0.00181508212178014
8000,454619,686600,"IL.Chicago",0.662130789397029,0.0278081647850164
10000,218845,265000,"MI.Detroit",0.825830188679245,0.00392106510319347
2000,400057,356100,"IL.Chicago",1.1234400449312,0.0304505074083442
10000,152113,201700,"MI.Detroit",0.754154685176004,0.0171341618488255
8000,197007,174600,"MI.Detroit",1.12833333333333,0.039966953220428
10000,155782,191100,"IL.Chicago",0.815185766614338,0.0204273755344491
10000,435388,449400,"CA.Los.Angeles",0.968820649755229,0.00539163464191919
2000,370342,337500,"CA.Los.Angeles",1.09730962962963,0.0366421503861355
8000,358938,243000,"MI.Detroit",1.47711111111111,0.0578594677873059
14000,356062,209000,"CA.Los.Angeles",1.70364593301435,0.0031043890903744
10000,292496,424200,"CA.Los.Angeles",0.68952380952381,0.0096064943316437
6000,331797,541200,"MI.Detroit",0.613076496674058,0.0103308631943782
10000,451918,466100,"IL.Chicago",0.96957305299292,0.00850261980131675
14000,438579,301800,"IL.Chicago",1.45321073558648,0.0671805893045261
16000,362443,333200,"IL.Chicago",1.08776410564226,0.0311033136480805
4000,155157,141700,"CA.Los.Angeles",1.09496824276641,0.00521884712859048
8000,436156,507800,"MI.Detroit",0.858912957857424,0.0341084071304384
12000,190547,197300,"CA.Los.Angeles",0.965772934617334,0.0234746816472161
10000,266840,407100,"MI.Detroit",0.655465487595185,0.00600745587171385
6000,288168,406200,"IL.Chicago",0.709423929098966,0.0145230813520999
16000,297581,165000,"IL.Chicago",1.80352121212121,0.0292670393906982
12000,455239,401500,"IL.Chicago",1.13384557907846,0.048116135496471
10000,403321,471700,"MI.Detroit",0.855037099851601,0.00998911651820738
4000,291484,358000,"IL.Chicago",0.814201117318436,0.0102868406160759
12000,226125,245100,"IL.Chicago",0.922582619339045,0.0336866157508683
4000,253082,149600,"IL.Chicago",1.69172459893048,0.0620970386762705
16000,208101,276000,"IL.Chicago",0.753989130434783,0.000815550723343546
8000,205223,119300,"CA.Los.Angeles",1.72022632020117,0.0101417282877831
8000,286044,370300,"MI.Detroit",0.772465568458007,0.0226699063067764
18000,371433,519600,"IL.Chicago",0.714844110854504,0.0322381527782119
6000,264827,396100,"IL.Chicago",0.668586215602121,0.032490086547442
6000,205180,263100,"CA.Los.Angeles",0.779855568225009,0.0146569740703655
10000,304208,395700,"IL.Chicago",0.768784432650998,0.0301871368959099
12000,259630,405200,"IL.Chicago",0.640745310957552,0.0253518722308364
8000,244505,292400,"IL.Chicago",0.836200410396717,0.0145178428891296
14000,376045,444300,"IL.Chicago",0.846376322304749,0.0306458488661271
14000,408730,271600,"CA.Los.Angeles",1.50489690721649,0.0136522655936316
8000,109195,98600,"MI.Detroit",1.10745436105477,0.0402542132138143
6000,518536,233100,"IL.Chicago",2.22452166452166,0.00803826701759346
6000,350442,291000,"CA.Los.Angeles",1.20426804123711,0.0200511230644564
8000,539028,458400,"IL.Chicago",1.17589005235602,0.0514258263478831
8000,189380,224200,"IL.Chicago",0.844692239072257,0.00150852645044925
18000,490122,603000,"MI.Detroit",0.812805970149254,0.00605438215007012
8000,72931,114600,"CA.Los.Angeles",0.636396160558464,0.030657197530659
8000,133239,164900,"IL.Chicago",0.807998787143723,0.0257283350640698
8000,180659,178600,"CA.Los.Angeles",1.01152855543113,0.0381159193579627
16000,250190,220400,"IL.Chicago",1.13516333938294,0.0357488391040795
14000,433507,503400,"IL.Chicago",0.861158124751689,0.0066616096845554
12000,332803,402500,"IL.Chicago",0.826839751552795,0.0133801191613984
14000,207617,277500,"IL.Chicago",0.748169369369369,0.00893878538040474
6000,216478,217500,"IL.Chicago",0.995301149425287,0.00466599043550516
14000,248745,319100,"CA.Los.Angeles",0.779520526480727,0.0281583882103431
14000,253831,317100,"CA.Los.Angeles",0.80047619047619,0.0345426851541824
14000,245134,313300,"MI.Detroit",0.782425789977657,0.014936744703279
12000,361828,403500,"CA.Los.Angeles",0.896723667905824,0.0425346083781495
14000,487673,558600,"CA.Los.Angeles",0.873027210884354,0.00282503893070096
16000,294111,384200,"IL.Chicago",0.765515356585112,0.025494309506021
10000,266846,136800,"IL.Chicago",1.95062865497076,0.0814292665999881
8000,411980,632900,"IL.Chicago",0.650940116922105,0.00811314294922645
10000,328906,428500,"CA.Los.Angeles",0.767575262543757,0.00751594120951146
6000,421429,512300,"CA.Los.Angeles",0.822621510833496,0.0235638235491207
8000,377841,348500,"IL.Chicago",1.08419225251076,0.016039592455734
14000,247333,314700,"IL.Chicago",0.785932634254846,0.000348973426183434
12000,238744,284400,"MI.Detroit",0.839465541490858,0.00966935679889821
6000,340764,374200,"IL.Chicago",0.910646712987707,0.0160324271253478
6000,234758,294300,"CA.Los.Angeles",0.797682636765206,0.019024892280059
10000,115671,151500,"CA.Los.Angeles",0.76350495049505,0.021429345434169
6000,356016,460800,"IL.Chicago",0.772604166666667,0.0228186742671339
12000,496387,407700,"CA.Los.Angeles",1.21753004660289,0.0442448009691255
8000,268298,284400,"IL.Chicago",0.943382559774965,0.0426633253168058
18000,270753,272800,"IL.Chicago",0.99249633431085,0.0167051248245317
10000,429807,451900,"CA.Los.Angeles",0.951110865235672,0.0218032343626915
12000,300778,308500,"CA.Los.Angeles",0.974969205834684,0.000287635732530971
10000,478251,584300,"IL.Chicago",0.818502481601917,0.0233053774911462
14000,181488,279000,"CA.Los.Angeles",0.650494623655914,0.00429183968675513
6000,363160,145700,"CA.Los.Angeles",2.49251887439945,0.0353942899096773
